Location,lat,lon,Notes
"Cedar Falls, IA, USA",42.5361805,-92.447758,NA
"Spokane, WA, USA",47.6571934,-117.42351,Published
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Philadelphia, PA, USA",39.9527237,-75.1635262,NA
"Port St. Lucie, FL, USA",27.2939333,-80.3503283,NA
"Jacksonville, FL, USA",30.3262247,-81.6579179,Published
"Greece, NY, USA",43.2581805,-77.6970101,Published
"Las Vegas, NV, USA",36.1674263,-115.1484131,NA
"Las Vegas, NV, USA",36.1674263,-115.1484131,Published
"Fort Collins, CO, USA",40.5871782,-105.0770113,Published
"Fort Collins, CO, USA",40.5871782,-105.0770113,NA
"Fort Collins, CO, USA",40.5871782,-105.0770113,NA
"Fort Collins, CO, USA",40.5871782,-105.0770113,NA
"Oneida, WI, USA",45.6879163,-89.4779558,NA
"Green Bay, WI, USA",44.5126379,-88.0125794,NA
"Marietta, GA, USA",33.9528472,-84.5496148,Published
"Needham, MA",42.2802645,-71.2360624,NA
"Albuquerque, NM, USA",35.0841034,-106.650985,NA
"Albuquerque, NM, USA",35.0841034,-106.650985,NA
"Albuquerque, NM, USA",35.0841034,-106.650985,Published
"Buffalo, NY, USA",42.8864163,-78.8781493,NA
"Boulder, CO, USA",40.0149856,-105.270545,NA
"Boulder, CO, USA",40.0149856,-105.270545,NA
"Boulder, CO, USA",40.0149856,-105.270545,Published
"Boulder, CO, USA",40.0149856,-105.270545,NA
"Lexington, KY, USA",38.0464066,-84.4970393,Published
"Lexington, KY, USA",38.0464066,-84.4970393,NA
